date,diff
27:46.3,187
27:46.3,109.5
27:46.4,218
27:46.5,190
27:46.5,169
27:46.6,110
27:46.6,77
27:46.6,36
27:46.7,220
27:46.7,207
27:46.8,127
27:46.8,103
27:46.8,27
27:46.9,218
27:46.9,221
27:46.9,202
27:47.0,120
27:47.0,84
27:47.0,77
27:47.0,54
27:47.1,26
27:47.2,103
27:47.2,81
27:47.4,180
27:47.4,165
27:47.4,164
27:47.5,113
27:47.6,229
27:47.6,203
27:47.7,149
27:47.7,131
27:47.8,43.25
27:47.8,209
27:47.9,163
27:47.9,110
27:48.0,37
27:48.1,124
27:48.1,119.5
27:48.1,113.5
27:48.2,97
27:48.2,33
27:48.2,35
27:48.3,211
27:48.3,215
27:48.3,144
27:48.4,94
27:48.4,23
27:48.5,198
27:48.6,142
27:48.6,116
27:48.6,109
27:48.6,73
27:48.7,35
27:48.7,22
27:48.7,230
27:48.8,201
27:48.8,176
27:48.8,59
27:48.9,68
27:49.0,220
27:49.0,192
27:49.0,186
27:49.0,153
27:49.0,131
27:49.1,103
27:49.1,80
27:49.2,187
27:49.2,176
27:49.2,161
27:49.4,42
27:49.4,23
27:49.6,227
27:49.7,183
27:49.7,160
27:49.8,76.333336
27:49.8,75
27:49.8,81
27:49.8,21
27:49.9,142
27:50.0,65
27:50.1,229
27:50.1,199
27:50.1,171
27:50.1,168
27:50.2,123
27:50.2,113
27:50.2,49
27:50.2,85
27:50.3,47
27:50.3,222
27:50.4,182
27:50.4,174
27:50.5,52
27:50.6,216
27:50.6,194
27:50.6,176
27:50.6,148
27:50.7,112
27:50.7,49
27:50.8,220
27:50.8,216
27:50.8,190
27:50.8,142
27:50.9,107
27:50.9,82
27:51.0,35
27:51.0,213
27:51.0,184
27:51.0,162
27:51.1,138
27:51.1,109
27:51.2,218
27:51.2,212
27:51.2,209
27:51.3,97
27:51.4,73
27:51.4,54
27:51.5,219
27:51.6,81
27:51.7,216
27:51.8,156.33333
27:51.8,157
27:51.9,41
27:51.9,219.5
27:52.0,166
27:52.0,135
27:52.1,57
27:52.1,28
27:52.1,25
27:52.1,19
27:52.2,211.5
27:52.2,154
27:52.2,135
27:52.2,134
27:52.3,110
27:52.4,224
27:52.4,216.66667
27:52.5,120
27:52.5,91
27:52.6,35
27:52.6,15
27:52.6,218
27:52.6,210
27:52.7,143
27:52.7,78
27:52.8,30
27:52.8,27
27:52.8,208
27:52.9,211
27:52.9,185
27:52.9,158
27:53.0,77
27:53.1,214
27:53.1,199
27:53.1,201
27:53.2,76
27:53.2,82
27:53.2,74
27:53.3,184
27:53.4,156
27:53.4,142
27:53.5,71
27:53.5,36
27:53.6,154
27:53.7,67
27:53.7,27
27:53.8,185
27:53.8,183
27:53.9,70
27:53.9,16
27:54.0,192
27:54.0,190
27:54.0,157
27:54.1,80
27:54.1,48
27:54.1,47
27:54.1,41
27:54.2,17
27:54.2,184
27:54.2,229
27:54.2,212
27:54.2,209
27:54.2,208
27:54.3,180
27:54.4,48
27:54.4,66
27:54.4,72
27:54.5,191
27:54.5,160
27:54.6,86
27:54.6,70
27:54.7,199
27:54.7,159
27:54.8,113
27:54.8,110
27:54.8,64.5
27:54.9,25
27:54.9,219
27:54.9,196
27:55.0,110
27:55.1,15
27:55.1,226
27:55.1,193
27:55.2,105.5
27:55.2,100
27:55.3,58
27:55.3,216
27:55.4,174
27:55.5,104
27:55.5,73
27:55.6,183
27:55.6,194
27:55.7,97
27:55.7,104
27:55.8,216.5
27:55.9,184
27:55.9,150
27:55.9,90
27:56.0,77
27:56.0,48
27:56.0,47
27:56.0,13
27:56.1,157
27:56.1,124
27:56.2,93
27:56.2,40
27:56.2,39
27:56.2,20
27:56.2,18
27:56.3,218
27:56.4,106
27:56.4,98
27:56.4,100
27:56.4,76
27:56.5,218
27:56.6,121
27:56.6,102.5
27:56.6,72
27:56.7,214
27:56.7,184
27:56.8,142
27:56.8,92
27:56.8,94
27:56.9,49
27:56.9,258
27:56.9,250
27:57.0,181
27:57.1,34
27:57.1,67
27:57.2,224.5
27:57.2,185
27:57.2,189
27:57.2,182
27:57.3,155
27:57.3,137
27:57.3,70
27:57.5,178
27:57.5,144
27:57.5,111
27:57.6,70
27:57.6,41
27:57.6,210
27:57.7,181
27:57.7,167
27:57.8,69
27:57.8,26
27:57.9,213
27:57.9,180
27:57.9,122
27:58.0,108
27:58.0,78
27:58.0,44
27:58.1,199
27:58.1,193
27:58.1,189
27:58.2,68
27:58.2,71
27:58.2,54
27:58.2,51
27:58.3,28
27:58.4,192
27:58.4,185
27:58.4,175
27:58.4,175
27:58.4,103
27:58.5,73
27:58.6,183
27:58.6,160
27:58.6,152
27:58.7,80
27:58.8,218
27:58.8,211
27:58.8,173
27:58.8,173
27:58.9,129
27:58.9,72
27:58.9,69
27:59.1,116
27:59.1,82.5
27:59.2,31
27:59.2,26
27:59.2,221
27:59.2,212.5
27:59.3,182
27:59.3,173
27:59.3,163
27:59.3,99
27:59.5,213
27:59.5,181
27:59.5,160
27:59.5,144
27:59.6,105
27:59.6,77
27:59.6,25
27:59.7,263.5
27:59.8,186
27:59.8,155.5
27:59.9,79
27:59.9,217
28:00.0,200
28:00.0,170
28:00.0,135
28:00.1,72.5
28:00.1,67
28:00.2,163
28:00.2,157
28:00.2,139
28:00.4,12
28:00.4,210
28:00.5,117
28:00.6,230
28:00.6,215
28:00.6,209
28:00.7,133
28:00.7,112
28:00.8,48
28:00.8,42
28:00.8,208
28:00.9,176
28:00.9,157
28:00.9,114
28:01.0,53
28:01.1,160
28:01.1,183
28:01.1,177.5
28:01.2,145
28:01.2,126.5
28:01.2,94
28:01.3,223
28:01.3,227
28:01.3,201
28:01.4,154
28:01.5,86
28:01.5,32
28:01.5,15
28:01.6,206
28:01.6,177
28:01.6,173
28:01.6,126
28:01.7,98
28:01.7,86
28:01.7,34
28:01.8,221
28:01.8,202
28:01.8,197
28:01.9,122
28:01.9,44
28:02.0,225
28:02.0,212
28:02.0,204
28:02.1,100
28:02.1,113
28:02.1,105
28:02.1,93
28:02.2,197
28:02.2,197
28:02.2,189
28:02.2,177
28:02.4,52
28:02.4,18.5
28:02.6,59
28:02.7,229
28:02.7,206
28:02.7,192
28:02.8,124.5
28:02.8,120
28:02.8,91
28:02.8,68.5
28:02.9,7
28:02.9,192
28:03.0,130
28:03.1,21
28:03.1,215
28:03.1,209
28:03.2,178
28:03.2,162
28:03.2,153
28:03.2,128
28:03.2,108
28:03.2,114
28:03.3,83
28:03.3,30
28:03.3,37
28:03.4,217
28:03.4,188.33333
28:03.5,58
28:03.5,46
28:03.6,219
28:03.6,207
28:03.6,189
28:03.6,154
28:03.7,126
28:03.7,62
28:03.8,33
28:03.8,265.5
28:03.8,230
28:03.9,200
28:03.9,139
28:04.0,124
28:04.0,82
28:04.1,218
28:04.1,180
28:04.1,189
28:04.1,170
28:04.2,66
28:04.2,54
28:04.2,58
28:04.3,158
28:04.4,124.5
28:04.4,106
28:04.4,93
28:04.5,218
28:04.6,96
28:04.7,38
28:04.7,212
28:04.8,159
28:04.8,153
28:04.8,122
28:04.8,101
28:04.9,44
28:04.9,222
28:05.0,177
28:05.0,141
28:05.1,68
28:05.1,32
28:05.1,27
28:05.2,208
28:05.2,195
28:05.2,164
28:05.2,148
28:05.3,148
28:05.3,125
28:05.3,68
28:05.4,218
28:05.4,181
28:05.4,177
28:05.5,126
28:05.5,99
28:05.5,88
28:05.6,29
28:05.6,7
28:05.6,213
28:05.6,220
28:05.7,164
28:05.7,98
28:05.8,69
28:05.8,34.5
28:05.8,209
28:05.9,185
28:05.9,128
28:06.0,111
28:06.1,212
28:06.1,178
28:06.1,172
28:06.1,187.5
28:06.1,182
28:06.1,161
28:06.2,51.5
28:06.2,51
28:06.3,154
28:06.4,120
28:06.4,104
28:06.5,43
28:06.6,225
28:06.6,179
28:06.6,154
28:06.6,150
28:06.7,93
28:06.7,46
28:06.8,205
28:06.8,170
28:06.8,147
28:06.9,93
28:07.0,39
28:07.0,225
28:07.0,224
28:07.0,187
28:07.1,114
28:07.1,78
28:07.1,80
28:07.1,69
28:07.2,31
28:07.2,207
28:07.2,209
28:07.2,196
28:07.2,193
28:07.3,192
28:07.3,169
28:07.4,61
28:07.4,43
28:07.4,216.5
28:07.4,216
28:07.5,174
28:07.5,147
28:07.6,69
28:07.6,55
28:07.6,37
28:07.6,43
28:07.7,222
28:07.7,144
28:07.7,126
28:07.8,116
28:07.8,89
28:07.8,81
28:07.8,40
28:07.8,31
28:07.9,215.5
28:08.0,205
28:08.1,81
28:08.1,51
28:08.1,44
28:08.1,54
28:08.1,29
28:08.2,186
28:08.2,139
28:08.2,144.5
28:08.3,61
28:08.3,23
28:08.4,25
28:08.4,199
28:08.4,199
28:08.5,138
28:08.6,40
28:08.6,202.5
28:08.6,178
28:08.7,136
28:08.7,88
28:08.8,209
28:08.8,183.5
28:08.9,171
28:08.9,136
28:09.0,78.5
28:09.0,46
28:09.0,36
28:09.0,37
28:09.0,216
28:09.1,197
28:09.1,117
28:09.2,78
28:09.2,30
28:09.2,78
28:09.3,216
28:09.3,220
28:09.4,120
28:09.4,134
28:09.4,83.666664
28:09.5,40
28:09.6,164
28:09.6,146
28:09.6,130.5
28:09.7,65
28:09.7,46
28:09.8,222
28:09.8,204
28:09.8,191
28:09.8,181
28:09.8,131
28:09.8,123
28:09.9,39.5
28:10.0,35
28:10.0,208
28:10.1,124
28:10.1,93
28:10.1,84
28:10.1,68
28:10.2,230
28:10.2,219
28:10.2,187
28:10.2,196
28:10.2,191
28:10.3,110
28:10.3,110
28:10.3,70
28:10.4,73
28:10.4,22
28:10.5,235
28:10.5,118
28:10.6,141
28:10.6,117
28:10.6,29.5
28:10.7,219
28:10.7,218.5
28:10.8,120
28:10.8,91
28:10.8,54
28:10.9,55
28:11.0,189
28:11.0,178
28:11.0,152
28:11.0,142
28:11.0,96
28:11.1,41
28:11.1,20
28:11.1,31
28:11.2,131
28:11.2,134
28:11.3,44
28:11.3,50
28:11.3,45
28:11.4,208
28:11.4,172
28:11.4,181
28:11.4,133
28:11.5,85
28:11.6,196
28:11.6,175
28:11.6,175
28:11.7,111
28:11.7,90
28:11.8,31
28:11.8,266
28:11.8,260.5
28:11.8,225
28:11.8,167
28:11.9,128
28:11.9,126
28:12.0,122
28:12.0,31
28:12.1,179
28:12.1,145.5
28:12.2,87
28:12.2,49
28:12.2,55
28:12.2,59
28:12.3,184
28:12.3,185
28:12.3,156
28:12.4,151
28:12.4,130
28:12.4,113
28:12.5,48
28:12.5,219
28:12.5,202
28:12.6,174
28:12.6,150
28:12.6,121
28:12.6,106
28:12.7,26.5
28:12.7,32
28:12.8,187
28:12.8,151.5
28:12.8,87
28:12.9,93
28:13.0,219.66667
28:13.0,184
28:13.0,175
28:13.0,129
28:13.1,72.5
28:13.1,75
28:13.1,58
28:13.2,204
28:13.2,209
28:13.3,72
28:13.3,117
28:13.4,61
28:13.4,212
28:13.4,206.5
28:13.5,166
28:13.6,50
28:13.6,36
28:13.7,194
28:13.7,171
28:13.7,145
28:13.8,105
28:13.8,72.333336
28:13.8,29
28:13.8,34
28:13.9,195
28:13.9,155
28:14.0,147
28:14.0,107
28:14.0,94
28:14.1,198
